# timeIndex	noteX	noteY	Action	Param1	Param2	Param3	...
30	3	3	0	0.00	0.00
31	3	3	2	0.84	0.84
32	3	3	2	0.91	0.91
33	3	3	2	0.14	0.14
34	3	3	2	-0.76	-0.76
35	3	3	2	-0.96	-0.96
36	3	3	2	-0.28	-0.28
37	3	3	2	0.66	0.66
38	3	3	2	0.99	0.99
39	3	3	2	0.41	0.41
40	3	3	2	-0.54	-0.54
41	3	3	2	-1.00	-1.00
42	3	3	2	-0.54	-0.54
43	3	3	2	0.42	0.42
44	3	3	2	0.99	0.99
45	3	3	2	0.65	0.65
46	3	3	2	-0.29	-0.29
47	3	3	2	-0.96	-0.96
48	3	3	2	-0.75	-0.75
49	3	3	2	0.15	0.15
50	3	3	2	0.91	0.91
51	3	3	2	0.84	0.84
52	3	3	2	-0.01	-0.01
53	3	3	2	-0.85	-0.85
54	3	3	2	-0.91	-0.91
55	3	3	2	-0.13	-0.13
56	3	3	2	0.76	0.76
57	3	3	2	0.96	0.96
58	3	3	2	0.27	0.27
59	3	3	2	-0.66	-0.66
60	3	3	2	-0.99	-0.99
61	3	3	2	-0.40	-0.40
62	3	3	2	0.55	0.55
63	3	3	2	1.00	1.00
64	3	3	2	0.53	0.53
65	3	3	2	-0.43	-0.43
66	3	3	2	-0.99	-0.99
67	3	3	2	-0.64	-0.64
68	3	3	2	0.30	0.30
69	3	3	2	0.96	0.96
70	3	3	2	0.75	0.75
71	3	3	2	-0.16	-0.16
72	3	3	2	-0.92	-0.92
73	3	3	2	-0.83	-0.83
74	3	3	2	0.02	0.02
75	3	3	2	0.85	0.85
76	3	3	2	0.90	0.90
77	3	3	2	0.12	0.12
78	3	3	2	-0.77	-0.77
79	3	3	2	-0.95	-0.95
80	3	3	2	-0.26	-0.26
81	3	3	2	0.67	0.67
82	3	3	2	0.99	0.99
83	3	3	2	0.40	0.40
84	3	3	2	-0.56	-0.56
85	3	3	2	-1.00	-1.00
86	3	3	2	-0.52	-0.52
87	3	3	2	0.44	0.44
88	3	3	2	0.99	0.99
89	3	3	2	0.64	0.64
90	3	3	2	-0.30	-0.30
91	3	3	2	-0.97	-0.97
92	3	3	2	-0.74	-0.74
93	3	3	2	0.17	0.17
94	3	3	2	0.92	0.92
95	3	3	2	0.83	0.83
96	3	3	2	-0.03	-0.03
97	3	3	2	-0.86	-0.86
98	3	3	2	-0.90	-0.90
99	3	3	2	-0.11	-0.11
100	3	3	2	0.77	0.77
101	3	3	2	0.95	0.95
102	3	3	2	0.25	0.25
103	3	3	2	-0.68	-0.68
104	3	3	2	-0.99	-0.99
105	3	3	2	-0.39	-0.39
106	3	3	2	0.57	0.57
107	3	3	2	1.00	1.00
108	3	3	2	0.51	0.51
110	3	3	0	-0.44	-0.44
